Census-Value,Correlation,n_routes,n_stops,n_trips,n_days,height_km,width_km,ut_start,ut_end,stop_spatial_density,trip_temporal_density
Population2016,Pearson,0.3977049331471504,0.48777404427585574,0.40574300706566035,0.3690748290534706,-0.05201297637421753,-0.05291890577555257,-0.18053562686547092,-0.29036956298594097,0.40871701071746364,0.5269852780088675
Population2016,Spearman,0.3314640248841174,0.35908104623511494,0.3038311280227876,0.3774587831148923,-0.07171128903232794,-0.1247162320947896,-0.17474679030994644,-0.39525514476474527,0.4545489632468209,0.3049853030360622
Population2011,Pearson,0.39142618493349446,0.4860052248925663,0.4110059886443975,0.3741944877223483,-0.050690674492667,-0.05213823644995342,-0.18592602246031337,-0.2940168668816278,0.40754232854543143,0.5281847900632284
Population2011,Spearman,0.3324549650025331,0.3604094435800323,0.3055515020991781,0.3767619227295189,-0.06313119553741837,-0.11482952537730497,-0.1687657436840013,-0.4027272170387789,0.4439871730310059,0.30971088752437537
PopulationPercentChange,Pearson,0.03535956357201824,-0.012887369729800563,-0.08823539491466573,-0.09764796914215783,-0.11175733188240673,-0.10578676447397628,-0.03521868609092606,0.0361054916062406,0.09963535124458683,-0.004010465376193859
PopulationPercentChange,Spearman,0.1074602570365396,0.0603683002617865,0.04153939336604714,0.06454967995208924,-0.10324137339279325,-0.07350114969829209,-0.06407311314824643,0.003315892065654017,0.17171684999148365,0.026380700073207287
TotalPrivateDwellings2016,Pearson,0.4018107986574328,0.48802154806048537,0.4347655978480725,0.3970378917248832,-0.05493405382839292,-0.049544008810938144,-0.1957235449702109,-0.293903390673042,0.4061121303852826,0.5296823169393388
TotalPrivateDwellings2016,Spearman,0.3135073187822774,0.3410823510617676,0.2856583157854728,0.37365871632590314,-0.07511937185454456,-0.12670881725921657,-0.1783201660718955,-0.3418363824547678,0.44040487511244586,0.2786461581576533
TotalPrivateDwellings2011,Pearson,0.39717564902944985,0.48560752541324825,0.43844675421856905,0.40048325501620563,-0.054993478889799635,-0.050027089137257834,-0.19796387464029386,-0.2948007424510385,0.4070188355883396,0.5271416818315395
TotalPrivateDwellings2011,Spearman,0.3102404832270608,0.3386324379256496,0.2848307940778419,0.3709583823325813,-0.07124308596090521,-0.1172576482825903,-0.17220838618636677,-0.34842360406477113,0.42688142825879394,0.27871148881878205
TotalPrivateDwellingsPercentChange,Pearson,0.06852574434878059,0.019541473860054292,-0.06845467992862511,-0.0803199755199455,-0.07220918198363072,-0.06770060685537792,-0.030294078358354872,0.038090309188250494,0.06352293263661693,0.03480396302067658
TotalPrivateDwellingsPercentChange,Spearman,0.20882730801357802,0.1273339158175356,0.09966131996211137,0.037728967164807385,0.006463311303886039,0.03106418785903105,0.042527704626318545,0.016202971247778686,0.14580293747612175,0.10497571914710949
PrivateDwellingsOccupiedByUsualResidents2016,Pearson,0.4006477730402054,0.4868653763125237,0.43068156653181633,0.39252865529359277,-0.05447879943253781,-0.050113078823758685,-0.1971625769616817,-0.296394583959224,0.4072629356950938,0.5290621639007145
PrivateDwellingsOccupiedByUsualResidents2016,Spearman,0.3177433155522081,0.3455793027293977,0.2890119563900821,0.3707841672362381,-0.06843386753236884,-0.1207419502094571,-0.17167455870973417,-0.35230165327132373,0.43365404012914144,0.2837855034997819
PrivateDwellingsOccupiedByUsualResidents2011,Pearson,0.39669005438965055,0.4846361386917782,0.4355939394007776,0.3971389817779799,-0.05490510474044424,-0.05070548076121812,-0.2000179465787082,-0.29754302470792265,0.4091115741408709,0.526217454958105
PrivateDwellingsOccupiedByUsualResidents2011,Spearman,0.31396467576000764,0.3434669331809226,0.28648583749310363,0.3697170997711351,-0.0733118902299824,-0.1157985968507148,-0.1705197482500799,-0.3576653776668654,0.43171589718232173,0.2822175676326918
PrivateDwellingsOccupiedByUsualResidentsPercentChange,Pearson,0.04692880954142396,0.004648143219356415,-0.09403739411816181,-0.1061470793977123,-0.041184547368431246,-0.054530969979432506,-0.008007705856095596,0.03284225644065191,-0.012853662421049255,0.0183644030756736
PrivateDwellingsOccupiedByUsualResidentsPercentChange,Spearman,0.16581440463561284,0.10254679222939611,0.07418701613472156,0.05059789738137351,0.054801683087187164,0.046949534139281365,0.04389708413954085,0.036652214552378944,0.059571781893265854,0.07206334200872763
LandAreaInSquareKilometres2016,Pearson,-0.023319749649317958,-0.07030857209439621,-0.061531398417433804,-0.059762970816105085,-0.08994853992636474,-0.07006106800756699,0.02135368620361083,-0.010392789881731762,-0.05732687969832385,-0.059378465682880584
LandAreaInSquareKilometres2016,Spearman,0.19741487260173343,0.1788109934281356,0.1122816295932836,0.12658904438048052,-0.11674589143708171,-0.13586599826076345,0.07908272760971953,-0.18809084855893493,0.2712311281195398,0.11805250465965679
PopulationDensityPerSquareKilometre2016,Pearson,0.4170888490541164,0.5751533266518505,0.5639100524164636,0.6468507705078979,0.04556937277163722,0.07413547167635096,-0.1267127067505337,-0.18266615651715098,0.302286878638022,0.43800811660635025
PopulationDensityPerSquareKilometre2016,Spearman,0.34726650928700825,0.42922711723158585,0.3904181554971164,0.44518732445490583,0.11347997592009558,0.12719948941648018,-0.2808710422310848,-0.3751896473517596,0.3080357435021593,0.38434237094871754
NationalPopulationRank2016,Pearson,-0.23588866547251952,-0.23624103349607267,-0.07034732615041651,-0.10730291204463462,0.050824208612443744,0.06277286335507974,0.12091123925004119,0.25228694170277566,-0.36331249267004323,-0.14141703530698996
NationalPopulationRank2016,Spearman,-0.3314640248841174,-0.35908104623511494,-0.3038311280227876,-0.3774587831148923,0.07171128903232794,0.1247162320947896,0.17474679030994644,0.39525514476474527,-0.4545489632468209,-0.3049853030360622
ProvincialTerritorialPopulationRank2016,Pearson,-0.30118826872860394,-0.2634480702649505,-0.052353570647888516,-0.14577707431789438,0.251690034950996,0.25556394750650674,0.19317988641174508,0.08533906172051034,-0.36136668191235677,-0.08921893474617522
ProvincialTerritorialPopulationRank2016,Spearman,-0.3451096043973588,-0.3234231846283305,-0.2307872599928743,-0.4593353480149011,0.16089894358890386,0.16825388801869498,0.26690797928663773,0.2599600624993539,-0.5124543911189479,-0.19417598105346975